Page,Flagged Sentences Count,Example Flagged Sentence
2,1,"Dissertation Approval This dissertation, written by Fabio Correa under the guidance of the Dissertation Committee and approved by all its members, has been accepted in partial fulfillment of the requi..."
4,2,"Bootstrap valida- tion (1,000 resamples) confirmed Price Value as robust; Hedonic Motivation and Social Influence confidence intervals included zero, suggesting these effects are sensitive to sample c..."
5,1,"Scholarship advances through cumulative contribution, and I am hon- ored to add to this conversation."
6,1,"“The question isn’t whether AI will transform work—it’s whether we’ll be ready.” — Dario Amodei, 2024 vi"
8,1,26 2.3.2 Diagnosing the Gap: Why Adoption Does Not Equal Value .
20,1,The effect of HM on BI is stronger for professionals with 4+ years of experience.
22,5,AI READINESS SCALE 7 Chapter 1: Introduction 1.1 Background and Context Artificial intelligence (AI) has evolved from a specialist capability to a foundational driver of en- terprise transformation.
23,5,"These figures reveal a paradox: AI is nearly ubiquitous, yet most enterprises fail to realize sustained economic or operational returns."
24,2,"Venkatesh (2021) identified nine unique re- search challenges for AI adoption that existing frameworks do not fully address, calling for empir- ical investigation of AI-specific adoption factors."
26,4,AI READINESS SCALE 11 1.4 Research Questions and Hypotheses 1.4.1 Research Questions Primary Research Question: How can UTAUT2 be extended with AI-specific constructs to better predict behavioral inte...
27,1,Full hypothesis specifications with theoretical rationales are presented in Chapter 3 §3.3.2.
28,2,"Moderation Discovery: Identification of experience as a moderating factor on hedonic motivation pathways contributed novel insights to the technology acceptance literature, suggesting that adop- tion ..."
29,1,"Moderation Discovery: The moderating effect of professional experience on hedonic motivation pathways indicates that adoption mechanisms may differ by experience level, a finding that suggests hypothe..."
30,1,Actual Behavior Prediction: The primary outcome is behavioral intention rather than sustained behavioral change.
31,4,This scope limitation is grounded in both methodological rigor and research ethics considerations.
32,1,"The AIRS instrument can support subsequent studies examining diagnostic protocols, intervention effectiveness, and or- ganizational applications, research that builds upon rather than overextends the ..."
33,2,"Key Terms and Definitions Term Definition UTAUT2 Unified Theory of Acceptance and Use of Technology 2 (Venkatesh et al., 2012) AIRS AI Readiness Scale: the 16-item psychometric instrument developed an..."
35,4,AI READINESS SCALE 20 Chapter 2: Literature Review 2.1 Introduction The rapid enterprise adoption of artificial intelligence has outpaced the explanatory capacity of traditional technology acceptance ...
36,3,"The literature review not only established scholarly grounding but also identified practical implications: why AI adoption programs fail, what organizational levers matter, and how validated measureme..."
37,3,AI READINESS SCALE 22 Davis (1989)’s Technology Acceptance Model (TAM) addressed this limitation by introducing two technology-specific beliefs: perceived usefulness (the degree to which a user believ...
38,3,"Social Influence (SI) reflects the degree to which important others believe the individual should use the technology, synthesizing subjective norm, social factors, and image constructs."
39,3,"This pattern suggests that for contemporary AI tools with polished interfaces, ease-of-use investments may show diminishing returns relative to other adoption levers."
40,1,"For the present research, UTAUT2 provides the baseline framework, with modifications appropriate to workplace AI contexts where hedonic mo- tivation and habit remain relevant while price value may be ..."
41,3,"AI READINESS SCALE 26 2.3 The AI Adoption-Value Gap: Industry Context 2.3.1 Current State of Enterprise AI Adoption Before examining why traditional acceptance models require extension for AI, it is e..."
42,3,"This failure rate exceeds typical technology project failures, suggesting AI-specific barriers that traditional change management and technology deployment frameworks do not adequately address."
43,5,2.3.3 Implications for Acceptance Research This industry context has direct implications for technology acceptance research.
44,4,"This characteristic fundamentally challenges traditional acceptance models, which assume users can form reasoned judgments about technology usefulness based on observable performance."
45,9,"AI READINESS SCALE 30 2.4.2 Probabilistic Behavior and Model Errors AI systems operate probabilistically, producing outputs that are correct in expectation but not guar- anteed for individual cases."
46,5,"AI READINESS SCALE 31 ceived ethical risk, referring to anticipated harms that depress adoption intention even when per- formance expectations are favorable."
47,5,AI READINESS SCALE 32 Research suggests anxiety may exhibit nonlinear relationships with exposure.
48,4,"When trust is high, performance expectancy shows stronger effects on intention, as users translate positive system evaluations into adoption when they trust the system to perform consistently."
50,4,(2025) identify annihilation anxiety (existential concerns about human relevance) as a component particularly salient among knowledge workers whose expertise AI may replicate.
51,4,"AI READINESS SCALE 36 levels favorably, an organizational intervention that traditional acceptance models do not explicitly accommodate."
52,2,"While UTAUT specifies experience as a moderator of traditional predictors, the moderating role of AI experience on AI-specific constructs is unexplored."
53,1,Users who believe AI will enhance their job performance should demonstrate greater adoption intention.
54,5,"Rationale: While meta-analytic effects are moderate and context-dependent, perceived ease of use remains a relevant consideration, particularly for users with limited AI experience."
55,5,AI READINESS SCALE 40 Rationale: Established patterns of AI use should predict continued intention through automaticity and reinforcement mechanisms.
56,4,"AI READINESS SCALE 41 2.8.4 Moderation Hypotheses H3 (Experience Moderation): Experience moderates the relationships between predictors and Be- havioral Intention, such that: • (a) The effect of Perfo..."
57,1,AI READINESS SCALE 42 Rationale: Professionals with greater workplace technology demands and resources may exhibit different AI tool usage patterns than academic participants.
58,1,AI Anxiety was proposed as an inhibitor but was excluded from the final model due to inadequate reliability (α = .301); its theoretical importance and measurement challenges are discussed in Chapters ...
59,1,The chapter is organized as follows: Section 3.2 describes the research philosophy and design; Section 3.3 details the theoretical framework and hypotheses; Section 3.4 covers instrument de- velopment...
60,2,"AI READINESS SCALE 45 3.2 Research Design 3.2.1 Research Philosophy This study adopted a post-positivist philosophical stance, recognizing that while objective reality exists, our understanding of it ..."
61,2,"While cross-sectional designs preclude causal inference, they are standard for initial scale valida- tion studies (DeVellis & Thorpe, 2021)."
62,1,The theoretical model comprised eight latent factors predicting Behavioral Intention to adopt AI tools: Core UTAUT2 Constructs: • Performance Expectancy (PE): The degree to which using AI tools will p...
67,1,"Final AIRS Instrument Structure Factor Items Example Item Performance Expectancy PE1, PE2 “Using AI tools increases my productivity” Effort Expectancy EE1, EE2 “Learning to use AI tools is easy for me..."
68,1,"While panel sampling has limitations similar to convenience sampling regarding generalizability, it is appropriate for initial scale validation studies where the primary goal is psychometric evalua- t..."
69,2,"According to Centiment’s documented methodology, survey notifications to panel members display only the estimated completion time and compensation amount; the sur- vey topic and subject matter are del..."
